application_id,sheet_row,latex_spec,responsible,wp_mapping,application_type,software_framework,status_maturity,benchmark_scope,metrics,repository_url,specification_url,discrepancies,required_action
app-scimba-plasma,14,chapters/applications/specs/app-proposed.tex,Emmanuel Franck,WP2,mini-app,Scimba,status-missing,not-defined,not-defined,,,"Sheet omits framework/status/metrics; framework comes from LaTeX purpose record","Confirm framework and supply operational status"
app-scimba-hybrid,15,chapters/applications/specs/app-proposed.tex,Emmanuel Franck,WP2,demonstrator,Scimba,status-missing,not-defined,not-defined,,,"Sheet omits framework/status/metrics; framework comes from LaTeX purpose record","Confirm framework and supply operational status"
app-feelpp-thermomeca-1,16,chapters/applications/specs/app-feelpp-thermomeca-1.tex,"V. Chabannes; C. Prud'homme; I. Ramière; H. Barucq","WP1, WP3",demonstrator,Feel++,implementation-in-progress,"multi-node; solver-scaling; method-verification","strong-scalability; time-to-solution; relative-error",https://github.com/numpex/apps-feelpp,,"No matching implementation path or tex_url observed at inspected apps-feelpp commit","Add versioned implementation/config and reviewed mathematical specification"
app-feelpp-ktirio-geom,17,chapters/applications/specs/app-feelpp-ktirio-geom.tex,"V. Chabannes; C. Prud'homme",WP1,demonstrator,"Feel++; CGAL",benchmark-in-progress,single-node,"strong-scalability; weak-scalability; time-to-solution",https://github.com/numpex/apps-feelpp,,"Single-node scope conflicts with weak/strong scalability wording unless thread scaling is intended","Clarify thread-scaling protocol and attach run evidence"
app-cgal-autorefine,18,chapters/applications/specs/app-cgal-autorefine.tex,"V. Chabannes; C. Prud'homme; P. Alliez",WP1,mini-app,CGAL,brainstorming,single-node,"strong-scalability; weak-scalability; time-to-solution",,,"No repo_url or tex_url; no executable benchmark evidence supplied","Provide application repository/configuration and define thread-scaling input series"
app-cgal-cdt2,19,chapters/applications/specs/app-cgal-cdt2.tex,"V. Chabannes; C. Prud'homme; P. Alliez",WP1,mini-app,CGAL,brainstorming,single-node,"weak-scalability; strong-scalability",,,"No repo_url or tex_url; no executable benchmark evidence supplied","Provide application repository/configuration and define verification oracle"
app-cgal-ccdt3,20,chapters/applications/specs/app-cgal-ccdt3.tex,"V. Chabannes; C. Prud'homme; P. Alliez",WP1,mini-app,CGAL,brainstorming,single-node,"weak-scalability; strong-scalability",,,"No repo_url or tex_url; no executable benchmark evidence supplied","Provide application repository/configuration and define verification oracle"
app-petsc-mixed-precision,21,chapters/applications/specs/app-petsc-mixed-precision.tex,P. Jolivet,WP3,mini-app,"PETSc; HPDDM; MUMPS",implementation-in-progress,solver-scaling,"time-to-solution; energy-to-solution",,,"No application repository/configuration or version in Sheet","Provide executable matrix/configuration and precision-accuracy acceptance criteria"
app-feelpp-mi300a-fem,22,chapters/applications/specs/app-feelpp-mi300a-fem.tex,"C. Prud'homme; V. Chabannes; P. Jolivet","WP1, WP3, WP7",extended-mini-app,"Feel++; PETSc; HPDDM",implementation-in-progress,"single-node; multi-node; multi-gpu; full-system; method-verification; solver-scaling","forward-residual; discretization-error; fixed-accuracy; time-to-solution; time-to-precision; nonlinear-and-linear-iterations; assembly-cost; solve-cost; memory-residency; host-device-transfers; strong-scalability; weak-scalability; multi-APU-scalability",https://github.com/numpex/apps-feelpp,https://docs.google.com/document/d/16fO_r3khpU4D4mh7PZ7GbXY_BBvup3gr0gRAt69doIU/edit,"Inspected repository has a HiFiMagnet toolbox configuration but no dedicated ID path; planned MI300A allocation is not a completed result","Freeze software commit/configuration before campaign and attach raw results after execution"
app-feelpp-hifimagnet-inverse,23,chapters/applications/specs/app-feelpp-hifimagnet-inverse.tex,"C. Prud'homme; V. Chabannes","WP1, WP2, WP3, WP4, WP6",extended-mini-app,"Feel++; PETSc/TAO; HPDDM",spec-only,"multi-node; multi-gpu; full-system; method-verification; solver-scaling; ensemble-mode","Taylor-gradient-test; parameter-recovery-error; observation-misfit; identifiability; time-to-inference; strong-scalability; weak-scalability",https://github.com/numpex/apps-feelpp,,"No dedicated implementation path or reviewed tex_url supplied","Provide reviewed mathematical specification and implementation evidence"
app-feelpp-hifimagnet-optcontrol,24,chapters/applications/specs/app-feelpp-hifimagnet-optcontrol.tex,"C. Prud'homme; V. Chabannes","WP1, WP2, WP3, WP5, WP6",extended-mini-app,"Feel++; PETSc/TAO; HPDDM; Sage-HPC",spec-only,"multi-node; multi-gpu; full-system; solver-scaling; ensemble-mode","Taylor-gradient-test; target-field-error; electrical-power; peak-temperature; constraint-violation; KKT-residual; time-to-optimum; strong-scalability; weak-scalability",https://github.com/numpex/apps-feelpp,,"No dedicated implementation path or reviewed tex_url supplied","Provide reviewed mathematical specification and implementation evidence"
app-feelpp-discr-2,,chapters/applications/specs/app-feelpp-discr-2.tex,"V. Chabannes; C. Prud'homme","WP1, WP3, WP4",extended-mini-app,"Feel++; PETSc",repository-only,"method-verification; solver-scaling; fluid-dynamics","benchmark-verification; strong-scalability; weak-scalability",https://github.com/numpex/apps-feelpp,,"Present in LaTeX but absent from Applications tab","Do not delete; Sheet/editorial owner must decide whether to register archive or supersede"
